perm,fitness
"[1, 3, 0, 4, 5, 2]",0.90625
"[1, 3, 0, 5, 2, 4]",0.96875
"[1, 3, 0, 5, 4, 2]",0.96875
"[1, 3, 2, 0, 4, 5]",0.90625
"[1, 3, 2, 0, 5, 4]",0.9375
"[1, 3, 2, 4, 0, 5]",0.875
"[1, 3, 2, 4, 5, 0]",0.875
"[1, 3, 2, 5, 0, 4]",0.96875
"[1, 3, 2, 5, 4, 0]",0.96875
"[1, 3, 4, 0, 2, 5]",0.84375
"[1, 3, 4, 0, 5, 2]",0.9375
"[1, 3, 4, 2, 0, 5]",0.875
"[1, 3, 4, 2, 5, 0]",0.90625
"[1, 3, 4, 5, 0, 2]",0.96875
"[1, 3, 4, 5, 2, 0]",0.96875
"[1, 3, 5, 0, 2, 4]",0.96875
"[1, 3, 5, 0, 4, 2]",0.96875
"[1, 3, 5, 2, 0, 4]",0.96875
"[1, 3, 5, 2, 4, 0]",0.96875
"[1, 3, 5, 4, 0, 2]",0.96875
"[1, 3, 5, 4, 2, 0]",0.96875
"[1, 4, 0, 2, 3, 5]",0.90625
"[1, 4, 0, 2, 5, 3]",0.59375
"[1, 4, 0, 3, 2, 5]",0.90625
"[1, 4, 0, 3, 5, 2]",0.96875
"[1, 4, 0, 5, 2, 3]",0.5625
"[1, 4, 0, 5, 3, 2]",0.59375
"[1, 4, 2, 0, 3, 5]",0.90625
"[1, 4, 2, 0, 5, 3]",0.875
"[1, 4, 2, 3, 0, 5]",0.90625
"[1, 4, 2, 3, 5, 0]",0.96875
"[1, 4, 2, 5, 0, 3]",0.75
"[1, 4, 2, 5, 3, 0]",0.96875
"[1, 4, 3, 0, 2, 5]",0.875
"[1, 4, 3, 0, 5, 2]",0.96875
"[1, 4, 3, 2, 0, 5]",0.9375
"[1, 4, 3, 2, 5, 0]",0.9375
"[1, 4, 3, 5, 0, 2]",0.96875
"[1, 4, 3, 5, 2, 0]",0.96875
"[1, 4, 5, 0, 2, 3]",0.65625
"[1, 4, 5, 0, 3, 2]",0.65625
"[1, 4, 5, 2, 0, 3]",0.5625
"[1, 4, 5, 2, 3, 0]",0.625
"[1, 4, 5, 3, 0, 2]",0.6875
"[1, 4, 5, 3, 2, 0]",0.59375
"[1, 5, 0, 2, 3, 4]",0.53125
"[1, 5, 0, 2, 4, 3]",0.5625
"[1, 5, 0, 3, 2, 4]",0.4375
"[1, 5, 0, 3, 4, 2]",0.375
"[1, 5, 0, 4, 2, 3]",0.65625
"[1, 5, 0, 4, 3, 2]",0.53125
"[1, 5, 2, 0, 3, 4]",0.5625
"[1, 5, 2, 0, 4, 3]",0.4375
"[1, 5, 2, 3, 0, 4]",0.5
"[1, 5, 2, 3, 4, 0]",0.40625
"[1, 5, 2, 4, 0, 3]",0.53125
"[1, 5, 2, 4, 3, 0]",0.5
"[1, 5, 3, 0, 2, 4]",0.46875
"[1, 5, 3, 0, 4, 2]",0.40625
"[1, 5, 3, 2, 0, 4]",0.34375
"[1, 5, 3, 2, 4, 0]",0.375
"[1, 5, 3, 4, 0, 2]",0.375
"[1, 5, 3, 4, 2, 0]",0.375
"[1, 5, 4, 0, 2, 3]",0.65625
"[1, 5, 4, 0, 3, 2]",0.625
"[1, 5, 4, 2, 0, 3]",0.65625
"[1, 5, 4, 2, 3, 0]",0.53125
"[1, 5, 4, 3, 0, 2]",0.46875
"[1, 5, 4, 3, 2, 0]",0.46875
"[2, 0, 1, 3, 4, 5]",0.90625
"[2, 0, 1, 3, 5, 4]",0.9375
